experiment,model_file,strategy_return,hs300_return,excess_return,max_drawdown,drawdown_days,recovery_days,recovered,exp_key,exp_dir_norm,score
model/search_itransformer_74_3\exp_54,best_model_sliding.pth,18.966181770000002,6.39611821790913,12.570063552090872,3.9425410884316734,1,7.0,True,search_itransformer_74_3/exp_54,model/search_itransformer_74_3/exp_54,10.17472944709776
model/search_itransformer_74_3\exp_54,best_model.pth,18.966181770000002,6.39611821790913,12.570063552090872,3.9425410884316734,1,7.0,True,search_itransformer_74_3/exp_54,model/search_itransformer_74_3/exp_54,10.17472944709776
model/search_itransformer_74_3\exp_64,best_model.pth,15.60207270999998,6.39611821790913,9.20595449209085,7.575276664282682,3,10.0,True,search_itransformer_74_3/exp_64,model/search_itransformer_74_3/exp_64,6.730032432342444
model/search_itransformer_74_3\exp_6,best_model.pth,13.867313370000023,6.39611821790913,7.471195152090893,0.8481687578692301,3,,False,search_itransformer_74_3/exp_6,model/search_itransformer_74_3/exp_6,7.533833266266508
model/search_itransformer_74_3\exp_6,best_model.pth,13.867313370000023,6.39611821790913,7.471195152090893,0.8481687578692301,3,,False,search_itransformer_74_3/exp_6,model/search_itransformer_74_3/exp_6,7.533833266266508
model/search_itransformer_74_3\exp_37,best_model.pth,13.773969480000003,6.39611821790913,7.377851262090873,2.3480112050948687,2,3.0,True,search_itransformer_74_3/exp_37,model/search_itransformer_74_3/exp_37,7.018539809098803
model/search_itransformer_74_3\exp_55,best_model_sliding.pth,13.134172040000003,6.39611821790913,6.738053822090873,5.886728332513448,1,13.0,True,search_itransformer_74_3/exp_55,model/search_itransformer_74_3/exp_55,5.509066462873228
model/search_itransformer_74_3\exp_35,best_model.pth,11.127165449999964,6.39611821790913,4.731047232090834,6.62443203333569,3,13.0,True,search_itransformer_74_3/exp_35,model/search_itransformer_74_3/exp_35,3.8828507396265293
model/search_itransformer_74_3\exp_55,best_model.pth,10.636155300000016,6.39611821790913,4.240037082090886,2.829231221027601,1,5.0,True,search_itransformer_74_3/exp_55,model/search_itransformer_74_3/exp_55,4.677703878318992
model/search_itransformer_74_3\exp_30,best_model_sliding.pth,10.343125620000016,6.39611821790913,3.947007402090886,1.4201891425826625,1,4.0,True,search_itransformer_74_3/exp_30,model/search_itransformer_74_3/exp_30,4.895295725852474
model/search_itransformer_74_3\exp_30,best_model.pth,10.343125620000016,6.39611821790913,3.947007402090886,1.4201891425826625,1,4.0,True,search_itransformer_74_3/exp_30,model/search_itransformer_74_3/exp_30,4.895295725852474
model/search_itransformer_74_3\exp_70,best_model_sliding.pth,10.111378839999997,6.39611821790913,3.7152606220908666,6.423780463460312,3,,False,search_itransformer_74_3/exp_70,model/search_itransformer_74_3/exp_70,3.231995583589166
model/search_itransformer_74_3\exp_10,best_model.pth,9.538773370000042,6.39611821790913,3.142655152090912,3.1351623647074307,1,5.0,True,search_itransformer_74_3/exp_10,model/search_itransformer_74_3/exp_10,3.8177571842150613
